feature,coefficient,abs_coefficient
worst texture,1.4340931710338392,1.4340931710338392
radius error,1.2333251663808187,1.2333251663808187
worst symmetry,1.0612636621709468,1.0612636621709468
mean concave points,0.9528128318119825,0.9528128318119825
worst concavity,0.9114058021854969,0.9114058021854969
area error,0.9090290582882165,0.9090290582882165
compactness error,-0.9069248024192622,0.9069248024192622
worst area,0.9004766112545068,0.9004766112545068
worst radius,0.8969678339058802,0.8969678339058802
mean concavity,0.7822983533225192,0.7822983533225192
perimeter error,0.7482947115713595,0.7482947115713595
worst perimeter,0.7231114802873424,0.7231114802873424
worst concave points,0.703998806703189,0.703998806703189
fractal dimension error,-0.5938763200364325,0.5938763200364325
mean texture,0.48221940329617946,0.48221940329617946
concave points error,0.48208907859235267,0.48208907859235267
mean area,0.43995028198850394,0.43995028198850394
mean compactness,-0.43954614808744313,0.43954614808744313
worst smoothness,0.4202067546570042,0.4202067546570042
texture error,-0.4076112582620644,0.4076112582620644
mean radius,0.361150068449133,0.361150068449133
mean perimeter,0.35315986626691276,0.35315986626691276
mean smoothness,0.3506215582917169,0.3506215582917169
symmetry error,-0.33065773405654075,0.33065773405654075
smoothness error,0.24799098171630335,0.24799098171630335
worst compactness,-0.17348750804499355,0.17348750804499355
mean symmetry,-0.1639908683770673,0.1639908683770673
concavity error,-0.09234069448239463,0.09234069448239463
mean fractal dimension,-0.08086512047777432,0.08086512047777432
worst fractal dimension,0.05486987894732406,0.05486987894732406
