,precision,recall,f1-score,support
0,1.0,1.0,1.0,27.0
1,0.9310344827586207,0.9642857142857143,0.9473684210526315,28.0
2,1.0,1.0,1.0,26.0
3,1.0,1.0,1.0,28.0
4,1.0,1.0,1.0,27.0
5,1.0,1.0,1.0,27.0
6,1.0,1.0,1.0,27.0
7,1.0,1.0,1.0,27.0
8,1.0,0.9230769230769231,0.96,26.0
9,0.9642857142857143,1.0,0.9818181818181818,27.0
accuracy,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889
macro avg,0.9895320197044335,0.9887362637362637,0.9889186602870813,270.0
weighted avg,0.9892765918627988,0.9888888888888889,0.9888718766613505,270.0
