,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6,target
age,1.0,0.17373710056366087,0.18508466614655542,0.33542758706707265,0.2600608201502619,0.21924313984750843,-0.07518097487514633,0.2038408997287557,0.27077424141816664,0.30173100763283817,0.18788875071891994
sex,0.17373710056366087,1.0,0.08816139902276204,0.24101048664904928,0.035276819175529564,0.14263725703350025,-0.37908962922733136,0.3321150930829642,0.14991613649583804,0.20813321620038905,0.04306199845160546
bmi,0.18508466614655542,0.08816139902276204,1.0,0.39541089871771257,0.24977742174241255,0.26116991116442545,-0.36681097840502935,0.4138066018314404,0.4461565385732521,0.388679993900039,0.5864501344746884
bp,0.33542758706707265,0.24101048664904928,0.39541089871771257,1.0,0.2424640227070416,0.1855484626129008,-0.178761631225643,0.25765005328351526,0.39348010904483216,0.3904300231160365,0.4414817585625712
s1,0.2600608201502619,0.035276819175529564,0.24977742174241255,0.2424640227070416,1.0,0.8966629578104903,0.05151936431482059,0.5422072805232417,0.5155029243689462,0.3257167530607085,0.2120224810145505
s2,0.21924313984750843,0.14263725703350025,0.26116991116442545,0.1855484626129008,0.8966629578104903,1.0,-0.1964551237441795,0.6598168886666439,0.3183566651415615,0.2906003754970443,0.17405358696874243
s3,-0.07518097487514633,-0.37908962922733136,-0.36681097840502935,-0.178761631225643,0.05151936431482059,-0.1964551237441795,1.0,-0.7384927292583829,-0.3985772934287099,-0.27369730147584126,-0.39478925067091813
s4,0.2038408997287557,0.3321150930829642,0.4138066018314404,0.25765005328351526,0.5422072805232417,0.6598168886666439,-0.7384927292583829,1.0,0.6178589739937289,0.4172121137121999,0.430452884744773
s5,0.27077424141816664,0.14991613649583804,0.4461565385732521,0.39348010904483216,0.5155029243689462,0.3183566651415615,-0.3985772934287099,0.6178589739937289,1.0,0.4646688466913679,0.5658825924427435
s6,0.30173100763283817,0.20813321620038905,0.388679993900039,0.3904300231160365,0.3257167530607085,0.2906003754970443,-0.27369730147584126,0.4172121137121999,0.4646688466913679,1.0,0.3824834842485807
target,0.18788875071891994,0.04306199845160546,0.5864501344746884,0.4414817585625712,0.2120224810145505,0.17405358696874243,-0.39478925067091813,0.430452884744773,0.5658825924427435,0.3824834842485807,1.0
