,count,mean,std,min,25%,50%,75%,max
age,442.0,48.51809954751131,13.109027822041092,19.0,38.25,50.0,59.0,79.0
sex,442.0,1.4683257918552035,0.4995611704353544,1.0,1.0,1.0,2.0,2.0
bmi,442.0,26.37579185520362,4.4181215606157735,18.0,23.2,25.7,29.275,42.2
bp,442.0,94.64701357466062,13.831283419782999,62.0,84.0,93.0,105.0,133.0
s1,442.0,189.14027149321268,34.60805167504306,97.0,164.25,186.0,209.75,301.0
s2,442.0,115.43914027149322,30.413080969276546,41.6,96.05,113.0,134.5,242.4
s3,442.0,49.78846153846154,12.934202154863327,22.0,40.25,48.0,57.75,99.0
s4,442.0,4.070248868778281,1.2904498966082774,2.0,3.0,4.0,5.0,9.09
s5,442.0,4.641410859728507,0.5223905610694907,3.2581,4.2767,4.62005,4.9972,6.107
s6,442.0,91.26018099547511,11.496334739334172,58.0,83.25,91.0,98.0,124.0
target,442.0,152.13348416289594,77.09300453299109,25.0,87.0,140.5,211.5,346.0
